subset_size,scope,attribute_with_max_abs_smd,max_abs_standardized_mean_diff,mean_abs_standardized_mean_diff,num_attributes_abs_smd_gt_0_10,num_attributes_abs_smd_gt_0_25,num_attributes_abs_smd_gt_0_50
100,combined,area,0.13024218960696593,0.05854858834402543,1,0,0
100,train,area,0.10086217122396977,0.03668939256172804,1,0,0
100,validation,permeability,0.7299890993402622,0.3286850874040824,8,5,1
300,combined,soil_depth,0.07089032592308564,0.04671788947976951,0,0,0
300,train,area,0.07185880829413911,0.05025985753049394,0,0,0
300,validation,soil_depth,0.14171575150696783,0.03343865187366157,1,0,0
600,combined,baseflow_index,0.04452329091771448,0.02005578229844957,0,0,0
600,train,baseflow_index,0.061217488938586355,0.025104214909658373,0,0,0
600,validation,slope,0.17216109392996096,0.09625325453954722,3,0,0
