dataset_label,scope,metric,count,mean,std,min,p10,p25,median,p75,p90,max
prepared_pool,combined,annual_peak_unit_area_median,1903,0.3236336089601881,0.5420704654659269,0.0,0.009064236881433839,0.04811652094857745,0.15997130687349476,0.3621690278231493,0.7082124732804914,4.75328260503919
prepared_pool,combined,annual_peak_years,1903,29.224908039936942,6.480649046552815,11.0,18.0,24.0,31.0,35.0,35.0,43.0
prepared_pool,combined,event_count,1903,92.48502364687336,80.83252872475815,5.0,23.0,40.0,72.0,116.0,179.0,641.0
prepared_pool,combined,event_duration_median_hours,1903,644.0667367314766,10323.691022048275,4.0,11.0,17.0,28.0,49.0,82.39999999999998,215466.0
prepared_pool,combined,q99_event_frequency,1903,3.877464911278516,3.4778657235585313,0.22580645161290322,1.0,1.724747474747475,2.9285714285714284,4.702941176470588,7.35454545454545,24.3
prepared_pool,combined,rbi,1903,0.056258792141003065,0.11961556451504322,0.0017403550234703336,0.009265257176165264,0.015797739052687367,0.02794917540921501,0.05324388246307164,0.10910995093420413,2.8637122814752165
prepared_pool,combined,rising_time_median_hours,1903,308.5160273252759,5261.9371700232505,1.0,3.0,4.5,8.5,16.0,29.0,121920.0
prepared_pool,combined,unit_area_peak_median,1903,0.16932474450046786,0.15040180187035537,2.0142763599243113e-05,0.011166910211055207,0.061192960515534495,0.1412514995641448,0.23108745510252462,0.3461574652161118,1.3966085865524547
prepared_pool,train,annual_peak_unit_area_median,1705,0.3265750146201816,0.5427040748435857,0.0,0.009103585429497782,0.04824623438440273,0.1596160127941199,0.36817381015842887,0.7331234182943301,4.75328260503919
prepared_pool,train,annual_peak_years,1705,29.226979472140762,6.464573385632622,11.0,18.0,24.0,31.0,35.0,35.0,43.0
prepared_pool,train,event_count,1705,93.34721407624633,81.84450763890666,5.0,23.0,40.0,73.0,117.0,181.60000000000014,641.0
prepared_pool,train,event_duration_median_hours,1705,596.4900293255132,9767.69942745881,4.0,11.0,17.0,27.5,48.5,82.5,215466.0
prepared_pool,train,q99_event_frequency,1705,3.9163797018707514,3.5415132997967507,0.22580645161290322,1.030550284629981,1.7333333333333334,2.9285714285714284,4.705882352941177,7.472445820433437,24.3
prepared_pool,train,rbi,1705,0.055731089924312735,0.10339062839469715,0.0017403550234703336,0.009278856057793912,0.01588837463584928,0.028112332609912923,0.054156856902423146,0.11151054482844852,2.6473299030935524
prepared_pool,train,rising_time_median_hours,1705,285.9859237536657,5041.99852247912,1.0,3.0,4.0,8.0,16.0,29.0,121920.0
prepared_pool,train,unit_area_peak_median,1705,0.1696550247123887,0.1516574062816257,2.0142763599243113e-05,0.011470052222815351,0.06155959912172004,0.13885138717962522,0.23029776636078542,0.35223339058430847,1.3966085865524547
prepared_pool,validation,annual_peak_unit_area_median,198,0.2983048379991328,0.5359157799618085,0.00016884807172328934,0.008876409990519932,0.04645498111580042,0.17131193259202532,0.33747156785232,0.5468699629881486,4.554999312310043
prepared_pool,validation,annual_peak_years,198,29.207070707070706,6.617435685792993,14.0,18.0,24.0,31.0,35.0,35.0,40.0
prepared_pool,validation,event_count,198,85.06060606060606,71.09686352908331,11.0,22.0,41.0,71.0,112.0,150.3,553.0
prepared_pool,validation,event_duration_median_hours,198,1053.7550505050506,14233.16263831539,5.0,12.0,18.0,28.0,50.75,78.65,200825.0
prepared_pool,validation,q99_event_frequency,198,3.5423653256231575,2.8500986452413724,0.3235294117647059,0.8762677484787018,1.6724137931034484,2.9077380952380953,4.693614130434783,6.706666666666669,20.48148148148148
prepared_pool,validation,rbi,198,0.060802894562503144,0.213171494325525,0.0020744361884004288,0.008959351061714969,0.015564571737185744,0.027088657850145234,0.04507687247800766,0.08548069413676695,2.8637122814752165
prepared_pool,validation,rising_time_median_hours,198,502.52525252525254,6867.369378530654,2.0,3.0,5.0,10.0,18.0,28.650000000000006,96890.5
prepared_pool,validation,unit_area_peak_median,198,0.16648066489781607,0.1390890530529757,0.00014699250356097572,0.010266354866769588,0.045833208704795084,0.1582860224827184,0.234163027231926,0.31880703711579883,0.825751146953819
scaling_300,combined,annual_peak_unit_area_median,300,0.3011607070866295,0.4691751246206858,2.45210187261429e-05,0.010188536998672162,0.044876695047322834,0.14873245223407744,0.35685535735592744,0.7327833081467174,3.543225584946919
scaling_300,combined,annual_peak_years,300,29.47,6.650997418933995,12.0,18.0,25.0,31.0,35.0,35.0,43.0
scaling_300,combined,event_count,300,92.10666666666667,76.19953164043872,6.0,23.0,44.0,73.0,118.25,178.0,454.0
scaling_300,combined,event_duration_median_hours,300,40.9,56.34030528848775,4.0,12.0,17.0,28.0,43.25,77.30000000000007,680.0
scaling_300,combined,q99_event_frequency,300,3.882146015028384,3.322091587531131,0.25925925925925924,1.0346590909090911,1.8641633064516128,2.975,4.768548387096774,7.41289592760181,22.61111111111111
scaling_300,combined,rbi,300,0.05560578219698957,0.07932816823650257,0.002638391432970227,0.01035071679589572,0.016086839549013833,0.02830368763261265,0.06007418502549626,0.13324792241802133,0.542776128474777
scaling_300,combined,rising_time_median_hours,300,13.438333333333333,19.904280039451034,1.0,3.0,4.0,9.0,15.0,27.55000000000001,222.0
scaling_300,combined,unit_area_peak_median,300,0.1660998124946369,0.15009953966336573,0.0006942292737433621,0.011909203689671756,0.05373226644615002,0.12980067414545213,0.21998092847549347,0.3639456711468429,0.8876203102427015
scaling_300,train,annual_peak_unit_area_median,269,0.30573023966058255,0.4835043317870571,2.45210187261429e-05,0.009822047486169471,0.04292996583790805,0.14913714242675635,0.36583652095850056,0.7436234376535216,3.543225584946919
scaling_300,train,annual_peak_years,269,29.509293680297397,6.654854494930457,12.0,18.0,25.0,31.0,35.0,35.0,43.0
scaling_300,train,event_count,269,92.98884758364312,79.48502855317751,6.0,22.0,41.0,73.0,119.0,184.0,454.0
scaling_300,train,event_duration_median_hours,269,42.49814126394052,59.02635505721693,4.0,12.0,17.5,28.5,45.0,80.20000000000002,680.0
scaling_300,train,q99_event_frequency,269,3.900874707525548,3.450363260929467,0.25925925925925924,0.9309957924263674,1.8,2.9444444444444446,4.758620689655173,7.511111111111112,22.61111111111111
scaling_300,train,rbi,269,0.057194888110748014,0.08304053471772252,0.002638391432970227,0.010245824844390683,0.015747712435776367,0.027423330151324265,0.0597896090444568,0.13471019756836725,0.542776128474777
scaling_300,train,rising_time_median_hours,269,13.869888475836431,20.842875285656632,1.0,3.0,4.0,9.0,15.0,28.200000000000017,222.0
scaling_300,train,unit_area_peak_median,269,0.16590620740693626,0.1513584676169973,0.0006942292737433621,0.010460358660229383,0.05344451747347909,0.12982181031668583,0.2211606763488031,0.36412373981958607,0.8876203102427015
scaling_300,validation,annual_peak_unit_area_median,31,0.2615089566868438,0.3160936073502601,0.004386227203978261,0.028582108659951224,0.06844092156297371,0.14363086423571958,0.30902118632443065,0.547699131509253,1.4149885487498188
scaling_300,validation,annual_peak_years,31,29.129032258064516,6.607629683268992,17.0,19.0,22.0,34.0,35.0,35.0,35.0
scaling_300,validation,event_count,31,84.45161290322581,36.0902441555193,25.0,45.0,59.0,77.0,116.5,135.0,166.0
scaling_300,validation,event_duration_median_hours,31,27.032258064516128,16.455676285036688,5.0,10.0,14.25,22.0,38.5,44.0,83.0
scaling_300,validation,q99_event_frequency,31,3.7196292962626667,1.8624286345287275,0.8620689655172413,1.7878787878787878,2.005072463768116,3.870967741935484,4.91795665634675,6.111111111111111,7.7
scaling_300,validation,rbi,31,0.04181644378405336,0.029161501185302682,0.007523540344600634,0.013556733855421168,0.022575549900695213,0.03362340263624889,0.05632179516577324,0.08231539571020284,0.13794670225020136
scaling_300,validation,rising_time_median_hours,31,9.693548387096774,6.976547601873514,2.0,3.0,4.5,8.0,14.0,18.0,33.0
scaling_300,validation,unit_area_peak_median,31,0.16777980502984607,0.13868497687161602,0.003333532675023478,0.02841647503482312,0.06117205744733864,0.12531618716061743,0.20928088968329064,0.3407552561306529,0.5669368275160982
